n,truthValue,corApprox,sqrApprox
1,1,1,1
2,1,1,1
3,2,2,2
4,3,3,3
5,5,5,5
6,8,8,8
7,13,13,13
8,21,21,21
9,34,34,34
10,55,55,55
11,89,89,89
12,144,144,144
13,233,233,233
14,377,377,377
15,610,610,610
16,987,987,987
17,1597,1597,1597
18,2584,2584,2584
19,4181,4181,4181
20,6765,6765,6765
21,10946,10946,10946
22,17711,17711,17711
23,28657,28657,28657
24,46368,46368,46368
25,75025,75025,75025
26,121393,121393,121393
27,196418,196418,196418
28,317811,317811,317811
29,514229,514229,514229
30,832040,832040,832040
31,1346269,1346269,1346269
32,2178309,2178309,2178309
33,3524578,3524578,3524578
34,5702887,5702887,5702887
35,9227465,9227465,9227465
36,14930352,14930352,14930352
37,24157817,24157817,24157817
38,39088169,39088169,39088169
39,63245986,63245986,63245986
40,102334155,102334155,102334155
41,165580141,165580141,165580141
42,267914296,267914296,267914296
43,433494437,433494437,433494437
44,701408733,701408733,701408733
45,134903163,134903163,134903163
46,836311896,836311896,836311896
47,971215059,971215059,971215059
48,807526948,807526948,807526948
49,778742000,778742000,778742000
50,586268941,586268941,586268941
51,365010934,365010934,365010934
52,951279875,951279875,951279875
53,316290802,316290802,316290802
54,267570670,267570670,267570670
55,583861472,583861472,583861472
56,851432142,851432142,851432142
57,435293607,435293607,435293607
58,286725742,286725742,286725742
59,722019349,722019349,722019349
60,8745084,8745084,8745084
61,730764433,730764433,730764433
62,739509517,739509517,739509517
63,470273943,470273943,470273943
64,209783453,209783453,209783453
65,680057396,680057396,680057396
66,889840849,889840849,889840849
67,569898238,569898238,569898238
68,459739080,459739080,459739080
69,29637311,29637311,29637311
70,489376391,489376391,489376391
71,519013702,519013702,519013702
72,8390086,8390086,8390086
73,527403788,527403788,527403788
74,535793874,535793874,535793874
75,63197655,63197655,63197654
76,598991529,598991529,598991529
77,662189184,662189184,662189183
78,261180706,261180706,261180704
79,923369890,923369890,923369887
80,184550589,184550589,184550580
81,107920472,107920472,107920462
82,292471061,292471061,292471038
83,400391533,400391533,400391508
84,692862594,692862594,692862546
85,93254120,93254120,93254063
86,786116714,786116714,786116641
87,879370834,879370834,879370672
88,665487541,665487541,665487370
89,544858368,544858368,544857651
90,210345902,210345902,210345270
91,755204270,755204270,755202409
92,965550172,965550172,965548191
93,720754435,720754435,720752641
94,686304600,686304600,0
95,407059028,407059028,0
96,93363621,93363621,0
97,500422649,500422649,0
98,593786270,593786270,0
99,94208912,94208912,0
