n,matSqrTime
1,2
2,12
3,14
4,20
5,18
7,23
9,24
11,28
13,29
15,34
18,35
21,32
24,44
27,40
31,43
35,39
40,46
45,41
51,39
57,42
64,53
71,47
79,49
88,56
98,47
109,51
121,50
134,54
148,53
164,56
181,54
200,57
221,59
244,68
269,54
297,54
328,63
362,65
399,66
440,71
485,63
535,64
590,69
650,62
716,106
789,77
869,74
957,85
1054,74
1160,71
1277,83
1406,83
1548,73
1704,80
1875,78
2064,77
2271,87
2499,79
2750,90
3026,87
3330,69
3664,88
4031,97
4435,78
4880,87
5369,89
5907,82
6499,84
7150,102
7866,97
8654,89
9520,94
10473,89
11521,78
12674,83
13942,101
15337,101
16872,98
18560,104
20417,97
22460,113
24707,84
27179,95
29898,99
32889,90
36179,98
39798,110
43779,91
48158,107
52975,111
58274,143
64102,114
70513,105
77565,116
85323,104
93856,119
103243,109
113568,122
124926,130
137420,110
151163,118
166280,108
182909,116
201201,112
221322,104
243455,133
267802,110
294583,133
324042,123
356447,120
392093,135
431303,119
474434,119
521878,134
574067,117
631475,123
694624,130
764087,132
840497,119
924548,125
1017004,137
1118705,125
1230577,127
1353636,134
1489001,131
1637902,139
1801693,150
1981863,148
2180050,129
2398056,139
2637863,119
2901650,132
3191816,127
3510999,144
3862100,152
4248311,138
4673143,152
5140458,163
5654505,146
6219957,149
6841954,137
7526150,150
8278766,159
9106644,154
10017309,143
11019041,129
12120946,160
13333042,148
14666347,161
16132983,161
17746282,159
19520911,161
21473003,163
23620304,159
25982335,167
28580570,162
31438628,180
34582492,182
38040742,157
41844817,154
46029300,185
50632231,156
55695455,168
61265002,168
67391503,139
74130654,169
81543720,164
89698093,170
98667903,176
108534694,170
119388164,167
131326981,164
144459680,190
158905649,182
174796215,188
192275838,207
211503423,188
232653766,191
255919144,173
281511059,179
309662166,182
340628384,182
374691223,185
412160346,168
453376382,206
498714021,205
548585424,215
603443967,228
663788365,194
730167203,221
803183924,225
883502317,195
971852550,204
1069037806,213
1175941588,197
1293535748,184
1422889324,202
1565178257,190
1721696084,215
1893865693,188
2083252263,197
2291577490,188
2520735240,212
2772808765,206
3050089643,213
3355098608,233
3690608470,228
4059669318,242
4465636251,205
4912199877,196
5403419866,197
5943761854,209
6538138040,204
7191951845,220
7911147031,208
8702261735,224
9572487910,207
10529736702,230
11582710373,202
12740981411,231
14015079553,192
15416587509,226
16958246261,219
18654070888,228
20519477978,224
22571425777,220
24828568356,230
27311425193,232
30042567713,237
33046824485,222
36351506935,249
39986657630,244
43985323394,223
48383855734,229
53222241308,224
58544465440,231
64398911985,245
70838803185,228
77922683505,221
85714951857,230
94286447044,237
103715091749,227
114086600925,236
125495261019,236
138044787122,221
151849265835,246
167034192420,223
183737611663,259
202111372830,251
222322510114,228
244554761126,236
269010237240,246
295911260965,244
325502387063,248
358052625770,258
393857888348,247
433243677184,270
476568044903,269
524224849394,249
576647334334,251
634312067768,262
697743274546,255
767517602002,247
844269362203,225
928696298424,268
1021565928267,252
1123722521095,242
1236094773206,285
1359704250528,257
1495674675582,257
1645242143141,248
1809766357456,273
1990742993203,250
2189817292524,271
2408799021777,253
2649678923956,260
2914646816353,274
3206111497989,252
3526722647789,260
3879394912569,277
4267334403827,279
4694067844211,264
5163474628633,245
5679822091497,274
6247804300648,288
6872584730714,253
7559843203786,256
8315827524166,252
9147410276584,263
10062151304243,258
11068366434668,252
12175203078136,289
13392723385951,277
14731995724547,280
16205195297003,271
17825714826704,296
19608286309375,286
21569114940314,310
23726026434346,315
26098629077782,340
28708491985561,294
31579341184118,296
34737275302531,302
38211002832785,260
42032103116065,270
46235313427673,297
50858844770441,271
55944729247486,313
61539202172236,289
67693122389461,268
74462434628408,294
81908678091250,302
90099545900376,326
99109500490415,295
109020450539458,295
119922495593405,288
131914745152747,319
145106219668023,328
159616841634826,285
175578525798310,309
193136378378142,318
212450016215957,316
233695017837554,312
257064519621310,321
282770971583442,301
311048068741787,311
342152875615967,325
376368163177565,306
414004979495323,326
455405477444856,333
500946025189343,333
551040627708278,318
606144690479107,290
666759159527019,350
733435075479722,309
806778583027695,334
887456441330466,303
976202085463514,326
1073822294009867,294
1181204523410855,307
1299324975751942,313
1429257473327137,329
1572183220659852,322
1729401542725838,300
1902341696998423,315
2092575866698267,337
2301833453368095,328
2532016798704906,335
2785218478575398,316
3063740326432939,330
3370114359076234,343
3707125794983859,335
4077838374482246,331
4485622211930472,349
4934184433123521,306
5427602876435875,317
5970363164079464,347
6567399480487412,337
7224139428536155,318
7946553371389772,341
8741208708528751,350
9615329579381628,356
10576862537319792,331
11634548791051772,361
12798003670156952,350
14077804037172648,328
15485584440889916,338
17034142884978908,343
18737557173476800,355
20611312890824480,354
22672444179906928,331
24939688597897624,355
27433657457687388,362
30177023203456128,379
33194725523801744,365
36514198076181920,374
40165617883800112,371
44182179672180128,448
48600397639398144,384
53460437403337960,390
58806481143671760,374
64687129258038944,396
71155842183842848,401
78271426402227136,374
86098569042449856,385
94708425946694848,364
104179268541364336,382
114597195395500784,371
126056914935050880,384
